city,cloudiness,date,country,humidity,lat,lng,max_temp,wind_speed
borovoy,0,1586654787,RU,64,55.43,86.08,33.8,4.47
port-gentil,100,1586654788,GA,83,-0.72,8.78,79.16,14.74
khatanga,72,1586654788,RU,94,71.97,102.5,7.93,8.16
novaya igirma,0,1586654788,RU,81,57.13,103.91,32.61,1.72
kurumkan,100,1586654788,RU,44,54.3,110.3,45.88,3.15
fairbanks,1,1586654498,US,41,64.84,-147.72,46.4,5.82
castro,15,1586654789,BR,72,-24.79,-50.01,56.14,4.54
huarmey,17,1586654789,PE,73,-10.07,-78.15,74.59,8.16
airai,97,1586654789,TL,69,-8.93,125.41,65.61,2.35
zelenoborskiy,67,1586654790,RU,95,66.84,32.36,20.95,3.42
poum,67,1586654790,NC,72,-20.23,164.02,79.61,12.39
bambous virieux,40,1586654790,MU,78,-20.34,57.76,78.01,14.99
tazovskiy,100,1586654790,RU,95,67.47,78.7,14.29,12.06
bredasdorp,100,1586654791,ZA,68,-34.53,20.04,66.2,13.87
margate,35,1586654575,GB,87,51.38,1.39,55.99,3.36
nhulunbuy,84,1586654791,AU,79,-12.23,136.77,83.5,10.51
hofn,65,1586654792,IS,83,64.25,-15.21,34.48,17.74
vaini,20,1586654792,TO,65,-21.2,-175.2,80.6,6.93
labuhan,33,1586654792,ID,80,-6.88,112.21,79.61,4.43
borogontsy,97,1586654792,RU,90,62.67,131.17,32.88,4.72
viedma,78,1586654793,AR,49,-40.81,-63.0,55.27,5.93
richards bay,56,1586654793,ZA,82,-28.78,32.04,71.15,13.78
madison,1,1586654699,US,36,34.73,-86.57,62.6,4.61
kavaratti,23,1586654794,IN,69,10.57,72.64,84.2,4.21
port hawkesbury,90,1586654781,CA,74,45.62,-61.35,37.99,8.05
avarua,96,1586654796,CK,89,-21.21,-159.78,84.2,5.82
qaanaaq,100,1586654797,GL,73,77.48,-69.36,11.53,2.62
centralina,16,1586654584,BR,61,-18.58,-49.2,69.04,4.34
